element_type,element_id,element_name,current_status,proposed_disposition,core_role_v2,rationale,roadmap_impact,user_approval_required,successor_or_note
ROADMAP_PHASE,FASE-0,FASE-0,ROADMAP_v1,KEEP,governance,Infrastructure and traceability remain necessary.,Prerequisite v2.,NO,
ROADMAP_PHASE,FASE-1,FASE-1,ROADMAP_v1,SIMPLIFY,functional_definition,Hub definition remains valid; pointwise feasibility requirements must be separated from core.,Propose F1 v03 successor without modifying v02.,YES,
ROADMAP_PHASE,FASE-2,FASE-2,ROADMAP_v1,KEEP,unit_of_analysis,Polygon and lineage remain coherent with DEC-0061.,Prerequisite v2 unchanged.,NO,
ROADMAP_PHASE,FASE-3,FASE-3,ROADMAP_v1,SIMPLIFY,data_baseline,Keep validated data work; stop treating post-model gaps as blockers.,Closable WITH LIMITATIONS after rebaseline dispositions.,YES,
ROADMAP_PHASE,FASE-4,FASE-4,ROADMAP_v1,KEEP,candidate_universe,"Still necessary, but as strategic alternatives rather than buyable sites.",Becomes V2-1.,NO,
ROADMAP_PHASE,FASE-5,FASE-5,ROADMAP_v1,SIMPLIFY,eligibility,Reduce hard filters to necessary reproducible rules; use soft/flag elsewhere.,Absorbed into V2-1/V2-2.,YES,
ROADMAP_PHASE,FASE-6,FASE-6,ROADMAP_v1,KEEP,criteria_indicators,Core of the new multicriteria model.,Becomes V2-2/V2-3.,NO,
ROADMAP_PHASE,FASE-7,FASE-7,ROADMAP_v1,SUPERSEDE_PROPOSED,energy,Detailed energy feasibility is oversized; strategic proxy remains.,Fold into V2-2/V2-3; detail post-model.,YES,
ROADMAP_PHASE,FASE-8,FASE-8,ROADMAP_v1,KEEP,normalization_weights,Necessary and not yet approved.,Becomes V2-4/V2-5.,NO,
ROADMAP_PHASE,FASE-9,FASE-9,ROADMAP_v1,KEEP,site_score,Individual suitability remains useful but distinct from configuration.,Becomes V2-5.,NO,
ROADMAP_PHASE,FASE-10,FASE-10,ROADMAP_v1,KEEP,configuration,Selection as a five-site configuration is central.,Becomes V2-6/V2-7.,NO,
ROADMAP_PHASE,FASE-11,FASE-11,ROADMAP_v1,KEEP,robustness,Necessary to demonstrate stability.,Becomes V2-8.,NO,
ROADMAP_PHASE,FASE-12,FASE-12,ROADMAP_v1,DEFER_POST_MODEL,due_diligence,Full pointwise verification is outside DEC-0061 model contract.,Moved after model.,YES,
ROADMAP_PHASE,FASE-13,FASE-13,ROADMAP_v1,HISTORICAL_SUPPORT,legacy_comparison,"Claude comparison is useful history, not necessary for model validity.",Optional outside core sequence.,NO,
ROADMAP_PHASE,FASE-14,FASE-14,ROADMAP_v1,KEEP,freeze,Reproducible freeze remains necessary.,Integrated into V2-9.,NO,
ROADMAP_PHASE,FASE-15,FASE-15,ROADMAP_v1,SIMPLIFY,deliverables,Final deliverables remain but must reflect strategic meaning of the five polygons.,Integrated into V2-9/Chat90.,YES,
DECISION,DEC-0001,Architettura ufficiale: sviluppo in C:\Tesi\dev; Git per versionamento; OneDrive per storage tecnico; Google Drive per governance viva.,DEPRECATED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0002,La baseline Claude è materiale storico e NON autorevole.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0003,"Riutilizzare SESSION CLOSE PROCEDURE V1 già esistente, senza creare una procedura parallela.",ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0004,Creazione repository GitHub rinviata fino all'avvio del primo blocco di implementazione sostanziale.,DEPRECATED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0005,FASE 0 — Inizializzazione del progetto dichiarata PASS / CLOSED dalla Chat Madre.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0006,F1-D1 — Tutti e 5 gli Hub devono integrare H₂ pubblico + ricarica elettrica DC pubblica come nucleo minimo comune.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0007,"F1-D2 — Specifiche AFIR H₂ (700 bar e 1 t/giorno) obbligatorie solo per gli Hub che devono assolvere una funzione AFIR/TEN-T; per gli altri Hub non sono vincoli automatici. La taglia 1 t/giorno potrà essere usata successivamente come riferimento progettuale comune, se utile.",FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0008,F1-D3 — Il modulo di ricarica elettrica minimo dei 5 Hub deve servire sia veicoli leggeri sia veicoli pesanti.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0009,F1-D4 — La produzione FER fisicamente in sito non è obbligatoria per tutti gli Hub; resta richiesto che l'Hub sia compatibile con l'uso diretto di energia rinnovabile.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0010,F1-D5 — L'idrogeno rinnovabile/certificato non è un requisito obbligatorio della configurazione minima degli Hub.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0011,"F1-D6 — Il modello non predefinisce né progetta l'architettura H₂ (tube trailer, pipeline, elettrolisi in sito o altra). Tali configurazioni sono considerate solo per le esigenze e i vincoli che possono incidere sulla localizzazione.",FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0012,F1-D7 — Biocarburanti e altri vettori energetici non fanno parte del nucleo minimo comune degli Hub e restano opzionali.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0013,"FASE 1 — Definizione dell’oggetto Hub Energetico Green: baseline metodologica v02 approvata dall’utente, FROZEN; FASE 1 PASS / CLOSED.",FROZEN,HISTORICAL_SUPPORT,f1_freeze_history,v02 freeze remains authoritative history; v03 successor is proposed.,Do not modify v02.,NO,
DECISION,DEC-0014,Percorso locale ufficiale del progetto 5 HUB corretto da C:\Tesi\dev a C:\dev\5-hub; Git resta il sistema di versionamento locale del repository.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
