"section","topic","readiness","internal_status","decisions","baseline_documents","data_registry_ids","reviews_artifacts","issues_gaps","notes"
"Executive summary","Sintesi progetto e risultati","PARTIAL","F1-F2 FROZEN; F3 IN CORSO","","FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md | FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md","","","Fase 3 in corso; F4-F15 non avviate","Completare solo a modello e risultati congelati"
"1","Contesto, obiettivi e perimetro","READY","ACCEPTED/FROZEN","DEC-0002; DEC-0013; DEC-0027","FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md | FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md","","ROADMAP_METODOLOGICA_v1.md","","Evitare dettagli di governance nel corpo"
"2","Quadro normativo e strategico","PARTIAL","F1 FROZEN; regole territoriali ACCEPTED","DEC-0007; DEC-0036; DEC-0039; DEC-0040; DEC-0041; DEC-0042; DEC-0043; DEC-0058","FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md","F3_SRC_TENTEC_001 | F3_SRC_PGRA_001 | F3_SRC_PPR_001 | F3_SRC_PAI_001 | F3_SRC_FVG_NATURA_001","REVIEW_CHAT_3.11_PGRA_PAI_v01.md","ISS-0013","Natura 2000 rule-set ancora in corso"
"3","Definizione funzionale Hub","READY","FROZEN","DEC-0006..DEC-0013","FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md","","FASE_1_HUB_DEFINITION_REVIEW_v01.md","","Capitolo consolidabile"
"4","Unità di analisi e geometrie","READY","FROZEN","DEC-0019..DEC-0027","FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md","","FASE_2_UNIT_ANALYSIS_REVIEW_v01.md","","Capitolo consolidabile"
"5","Dati, fonti e qualità","PARTIAL","F3 IN CORSO","DEC-0029; DEC-0030; DEC-0035; DEC-0038; DEC-0045; DEC-0047; DEC-0052; DEC-0055; DEC-0057","FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md | FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md","DATA_REGISTRY intero","FASE_3_DATA_INVENTORY_REVIEW_v01.md | review specialistiche F3","ISS-0002; ISS-0009; ISS-0013","Aggiornare a chiusura F3"
"6","Architettura complessiva del metodo","PARTIAL","Roadmap definita; operazionalizzazioni future aperte","","ROADMAP_METODOLOGICA_v1.md","","PROJECT_SOURCE_OF_TRUTH","","Non trasformare roadmap in risultati"
"7","Universo candidati","NOT_READY","Fase 4 NON AVVIATA","DEC-0032; DEC-0048","FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md","F3_SRC_FVG_PRGC_CURRENT_001","FASE_3_CURRENT_URBAN_PLANNING_VALIDATION_REVIEW_v01.md | FASE_3_URBAN_PLANNING_TO_VERIFY_REVIEW_v01.md","ISS-0002; ISS-0009","Mancano categorie, procedura e output candidati"
"8","Ammissibilità ed esclusioni","PARTIAL","Regole territoriali ACCEPTED; Fase 5 NON AVVIATA","DEC-0039; DEC-0040; DEC-0041; DEC-0042; DEC-0043; DEC-0058","","F3_SRC_PGRA_001 | F3_SRC_PAI_001 | F3_SRC_PPR_001 | F3_SRC_FVG_NATURA_001","FASE_3_TERRITORIAL_ENVIRONMENTAL_VALIDATION_REVIEW_v01.md | REVIEW_CHAT_3.11_PGRA_PAI_v01.md","ISS-0013","Manca applicazione operativa ai candidati"
"9","Accessibilità, TEN-T e domanda Light/Heavy","PARTIAL","Baseline macro ACCEPTED","DEC-0035; DEC-0036; DEC-0054; DEC-0055","","F3_SRC_TENTEC_001 | F3_SRC_LIGHT_OSM_GRAPH_001 | F3_SRC_LIGHT_GAMMA_001 | F3_SRC_LIGHT_OD_PATH_001 | F3_SRC_LIGHT_DEMAND_001 | F3_SRC_HEAVY_OD_001 | F3_SRC_HEAVY_PATH_001","REVIEW_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md","LOCAL_ROAD_ACCESS_CHECK_REQUIRED","Accessi candidati e metriche ancora da definire"
"10","Fattibilità energetica/proxy rete","PARTIAL","Baseline dati ACCEPTED","DEC-0050; DEC-0052; DEC-0053","","F3_SRC_OSM_GRID_PROXY_001 | F3_SRC_FVG_CP_001 | F3_SRC_TERNA_TERRA_001","REVIEW_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md","","Nessuna capacità MW o connessione garantita"
"11","Vincoli territoriali, ambientali e paesaggistici","PARTIAL","Molte regole ACCEPTED; Natura 2000 in corso","DEC-0039; DEC-0040; DEC-0041; DEC-0042; DEC-0043; DEC-0057; DEC-0058; DEC-0059","","F3_SRC_PGRA_001 | F3_SRC_PAI_001 | F3_SRC_FVG_LANDSLIDE_002 | F3_SRC_PPR_001 | F3_SRC_FVG_NATURA_001","REVIEW_CHAT_3.11_PGRA_PAI_v01.md","ISS-0013","Integrare Chat 3.12 solo dopo review Chat 0.2"
"12","Sistema indicatori","NOT_READY","Fase 6-7 NON AVVIATE","","","","","","Nessun indicatore nuovo può essere anticipato"
"13","Normalizzazione, pesi e ranking","NOT_READY","Fase 8-9 NON AVVIATE","","","","","","Mancano formule, pesi, normalizzazione e ranking"
"14","Selezione configurazione 5 Hub","NOT_READY","Fase 10 NON AVVIATA","","","","","","Manca modello di selezione/ottimizzazione"
"15","Robustezza e sensibilità","NOT_READY","Fase 11 NON AVVIATA","","","","","","Mancano scenari e risultati quantitativi"
"16","Risultati e interpretazione","NOT_READY","Nessun risultato finale","","","","","","Non scrivere graduatorie o cinquina dalla baseline storica"
"17","Verifica puntuale finalisti","NOT_READY","Fase 12 NON AVVIATA","DEC-0033; DEC-0048; DEC-0050; DEC-0055; DEC-0058","","","future schede sito","ISS-0009","Diversi check finali sono già obbligatori ma non eseguiti"
"18","Limiti e incertezza","PARTIAL","Aggiornabile durante il progetto","DEC-0048; DEC-0050; DEC-0053; DEC-0055; DEC-0058","","DATA_REGISTRY intero","review Fase 3","ISS-0002; ISS-0009; ISS-0013","Separare gap reale da risoluzione procedurale"
"19","Conclusioni","NOT_READY","Dipende dai risultati finali","","","","","","Da redigere solo a modello stabilizzato"
