theme,dataset_or_layer,source_current,geometry_crs,current_semantics_or_legal_status,proposed_future_role,automatic_exclusion_approved,methodological_question,limitations
PGRA - pericolosita,sigma:Pericolo_direttiva_alluvioni,Autorita di Bacino Distrettuale Alpi Orientali / SIGMA,Polygon/MultiPolygon - EPSG:3035,"Live WFS con PDESCRIPT; quadro PGRA aggiornato vigente dal 22-01-2026",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-A,"Binding machine-readable WFS <-> Delibera 12/2025 non esplicito"
PGRA - rischio,sigma:Rischio,Autorita di Bacino Distrettuale Alpi Orientali / SIGMA,Polygon/MultiPolygon - EPSG:3035,"Live WFS con RISKCLASS/RCDESCRIPT; quadro PGRA aggiornato vigente dal 22-01-2026",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-A,"Rischio non equivale automaticamente a inedificabilita; binding di versione non esplicito"
PGRA - aree allagabili,PGRA2027 map set TR30/TR100/TR300,Autorita di Bacino Distrettuale Alpi Orientali / SIGMA,Cartografia ufficiale indicizzata,"Mappe altezze idriche correnti in salvaguardia",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-A,"Vettore corrente versionato non promosso in Chat 3.4"
Frane - pericolosita,IRDAT:CATFRANE_PERICOLOSITA,Regione Autonoma FVG / IRDAT,Polygon + GeometryCollection - EPSG:3004,"830 geometrie; P1=2 P2=39 P3=349 P4=440; pericolosita distinta dal catasto complessivo",ADMISSIBILITY_CHECK,NO,Q-METH-3.4-B,"Effetto urbanistico dipende dalla disciplina cogente applicabile/PAI; nessuna classe esclusa automaticamente"
Frane - perimetri,IRDAT:CATFRANE_PERIMFRANE,Regione Autonoma FVG / IRDAT,Polygon + GeometryCollection - EPSG:3004,"4989 perimetri franosi; inventario distinto dal layer di pericolosita",CONTEXT_ONLY / TO_DECIDE,NO,Q-METH-3.4-B,"Perimetro inventariale non equivale da solo a vincolo/esclusione"
Natura 2000 - ZSC/SIC/pSIC,SITI_PROT:SIC,Regione Autonoma FVG / IRDAT,MultiPolygon - EPSG:6708,"66 feature; typename SIC tecnico/legacy; TIPO_SITO distingue ZSC/SIC/pSIC e relazioni con ZPS",ADMISSIBILITY_CHECK,NO,Q-METH-3.4-C,"Applicare stato legale e misure correnti del singolo sito; non usare il typename come designazione"
Natura 2000 - ZPS,SITI_PROT:ZPS,Regione Autonoma FVG / IRDAT,MultiPolygon - EPSG:6708,"35 feature; 29 codici coincidono con ZSC nel layer tecnico SIC",ADMISSIBILITY_CHECK,NO,Q-METH-3.4-C,"VINCA/misure di conservazione anche per possibili interferenze funzionali esterne"
Parchi naturali regionali,SITI_PROT:PARCHI_NATURALI_REG,Regione Autonoma FVG / IRDAT,Polygon - EPSG:6708,"2 parchi regionali; perimetri e riferimenti PCS disponibili",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Verificare PCS/regolamento e disciplina specifica"
Riserve naturali regionali,SITI_PROT:RISERVE_NATURALI_REG,Regione Autonoma FVG / IRDAT,Polygon/MultiPolygon - EPSG:6708,"13 riserve; STATO_PERIMETRO 6 definitivo / 7 provvisorio",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Distinguere perimetri provvisori/definitivi e atti specifici"
Aree naturali protette statali,SITI_PROT:RIS_NATURALI_STATALI,Regione Autonoma FVG / IRDAT,Polygon - EPSG:6708,"3 aree: due riserve statali + area marina protetta Miramare",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Disciplina statale/specifica prevale sul solo layer GIS"
