"claim_id","source_section","source_excerpt_short","claim_summary","claim_nature","audit_status","current_project_reference","conflict_or_change","external_verification_required","external_source","recommendation","user_decision_required","downstream_effect","notes"
"RC-001","Obiettivo generale","rete iniziale di cinque Hub","Il modello deve individuare una configurazione di cinque Hub in FVG.","USER_REQUIREMENT / REQUIREMENT_OF_COMMISSION","KEEP","DEC-0061; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §1-3","Allineato al MODEL_v2 strategico.","NO","","Mantenere come obiettivo generale.","NO","MODEL_SCOPE","Cinque poligoni territorialmente preferibili, non siti già cantierabili."
"RC-002","Obiettivo generale","cinque localizzazioni sono pertanto uniche","Le stazioni H2 e gli Hub insistono sui medesimi cinque siti.","DESIGN_CHOICE","KEEP","DEC-0006/F1-D1; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","Coerente con il nucleo minimo comune.","NO","","Mantenere esplicitando che ogni Hub integra H2 pubblico e DC pubblico.","NO","HUB_DEFINITION","Non deriva da AFIR universale."
"RC-003","Obiettivo generale","stazione di rifornimento di idrogeno accessibile al pubblico","Ogni Hub integra H2 accessibile al pubblico.","DESIGN_CHOICE","KEEP","DEC-0006/F1-D1; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-004","Obiettivo generale","ricarica elettrica in corrente continua accessibile al pubblico","Ogni Hub integra ricarica DC pubblica.","DESIGN_CHOICE","KEEP","DEC-0006/F1-D1; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-005","Obiettivo generale","idoneo a servire sia veicoli leggeri sia veicoli pesanti","Il modulo EV deve servire Light e Heavy.","DESIGN_CHOICE","KEEP","DEC-0008/F1-D3; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-006","Obiettivo generale","un sistema di accumulo a batterie (BESS)","BESS è componente obbligatoria di ciascun Hub.","DESIGN_CHOICE","CONFLICT","DEC-0006…DEC-0012; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","La baseline FROZEN definisce il nucleo minimo senza rendere BESS obbligatorio.","NO","","Non inserire come requisito corrente; richiede successore esplicito della Fase 1 se l'utente vuole renderlo obbligatorio.","YES","HUB_DEFINITION / DQ_UPSTREAM","Nuovo requisito sostanziale."
"RC-007","Obiettivo generale","un elettrolizzatore","Elettrolizzatore in sito è componente obbligatoria di ciascun Hub.","DESIGN_CHOICE","CONFLICT","DEC-0011/F1-D6; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2, §6","Confligge con la decisione FROZEN di non predefinire l'architettura H2 e di trattare l'elettrolisi in sito come opzione.","NO","","Non usare come requisito obbligatorio senza nuova approvazione esplicita.","YES","HUB_DEFINITION / AREA_REQUIREMENT","Potrebbe alterare fabbisogno di superficie ed energia."
"RC-008","Obiettivo generale","infrastrutture di supporto necessarie","Devono esistere infrastrutture di supporto coerenti con le funzioni dell'Hub.","DESIGN_CHOICE","ADAPT","FASE_1_HUB_DEFINITION_REBASELINED_v03 §3, §7","Valido a livello funzionale, non come layout o verifica esecutiva.","NO","","Riformulare come requisito funzionale territoriale solo quando osservabile a scala strategica.","NO","MODEL_SCOPE",""
"RC-009","Elementi dell'analisi","Comunità Energetica Regionale di Area Vasta","Considerare opportunità di integrazione con CER regionale e filiere H2/combustibili alternativi.","EDITORIAL_DESCRIPTION","EDITORIAL_ONLY","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §1, §5","Non è un criterio approvato né un requisito del modello.","NO","","Conservare solo come contesto narrativo salvo futura decisione su indicatori.","NO","RELATION_ONLY",""
"RC-010","Sequenza metodologica","definizione caratteristiche Hub e unità territoriale","Prima si definiscono Hub/unità, dati e universo, poi ammissibilità e valutazione.","METHODOLOGICAL_CHOICE","KEEP","ROADMAP_METODOLOGICA_v2 §3; FASE 1/Fase 2 FROZEN","Allineato alla sequenza MODEL_v2.","NO","","Mantenere aggiornando i nomi agli stadi V2-1…V2-9.","NO","PIPELINE_STRUCTURE",""
