issue_id,current_status,proposed_disposition,proposed_future_status,issue,core_model_effect,user_approval_required,next_action
ISS-0001,RESOLVED,HISTORICAL_SUPPORT,RESOLVED,Baseline Claude da collocare formalmente in project_storage\00_baseline e registrare nel DATA_REGISTRY.,Infrastructure/baseline closure already complete; no v2 effect.,NO,No action.
ISS-0002,OPEN,HISTORICAL_SUPPORT,PROPOSE_RESOLVED_AS_HISTORICAL,"La derivazione delle 1.377 aree candidate del pacchetto QGIS Beltrame non è ricostruibile dal solo QGZ/GPKG; il dataset incorpora inoltre un limite minimo osservato di 5.016,2 m² coerente con la soglia storica di 5.000 m².",Claude candidate universe will not be reused as authoritative universe.,YES,Close as historical non-blocker after rebaseline approval.
ISS-0003,RESOLVED,KEEP,RESOLVED,La Mosaicatura PRG 2018 alla base dei WFS regionali industriali/commerciali non è dimostrata come rappresentazione dell'urbanistica vigente 2026.,Correctly keeps CER D/H as historical/support rather than current planning.,NO,No action.
ISS-0004,RESOLVED,KEEP,RESOLVED,Il Grafo stradale FVG non è ancora validato come rete routabile Light/Heavy per il modello 5 HUB.,Validated Light/Heavy macro baselines remain fit for strategic model.,NO,Only local-access obligation is re-disposed through DEC-0055.
ISS-0005,RESOLVED,KEEP,RESOLVED,La geometria/classificazione TEN-T corrente coerente con Reg. (UE) 2024/1679 a tre livelli non è ancora materializzata e validata per FVG.,Validated TEN-T is core for accessibility/corridors.,NO,No action.
ISS-0006,RESOLVED,KEEP,RESOLVED,I vettori PGRA coerenti con l'aggiornamento adottato in salvaguardia a gennaio 2026 non sono ancora acquisiti nel nuovo progetto.,PGRA fallback/currentness is sufficient for macro use.,NO,Future hard/soft/flag role remains to decide.
ISS-0007,RESOLVED,SIMPLIFY,RESOLVED,Non esiste nel progetto un dataset validato di capacità elettrica disponibile/punto di connessione per i siti candidati.,Region-wide capacity is not a blocker; real connection is post-model.,YES,Confirm capacity/point/cost are outside core.
ISS-0008,RESOLVED,KEEP,RESOLVED,Il PPR vigente dopo la Variante 2/2025 richiede una procedura di estrazione GIS riproducibile dal riferimento ufficiale.,Current PPR and reproducible extraction remain useful.,NO,Operational role to be decided later without new legal interpretation.
ISS-0009,OPEN,DEFER_POST_MODEL,PROPOSE_CLOSED_OUT_OF_SCOPE_CORE,Proprietà e disponibilità effettiva delle superfici non sono coperte da un dataset region-wide validato.,Property/commercial availability are outside the DEC-0061 core model.,YES,Close as post-model gap and supersede finalist property requirement.
ISS-0010,RESOLVED,SIMPLIFY,RESOLVED,La vigenza dei PRGC comunali non è uniformemente automatizzabile: pubblicazione digitale eterogenea e accesso EagleFVG non equivale da solo a variante vigente verificata.,Best-available planning remains useful for polygon generation/classification; pointwise due diligence is not a model gate.,YES,Keep currentness flag; move pointwise urban verification post-model.
ISS-0011,RESOLVED,SIMPLIFY,RESOLVED,"Il layer regionale WFS dei biotopi espone 40 geometrie e il testo riepilogativo della pagina regionale continua a dichiarare 40 biotopi; tuttavia la tabella della stessa pagina e gli atti vigenti includono anche n. 41 e n. 42, istituiti con DPReg 065/2026 e 066/2026. Il corpus legale corrente comprende quindi 42 biotopi, con pubblicazione regionale internamente disallineata.",Biotope gap remains documented; uncertainty can be a flag/limit rather than final-site due diligence blocker.,YES,Treat as flag/limit unless DQ-02 promotes a rule.
ISS-0012,RESOLVED,SIMPLIFY,RESOLVED,La cartografia PAI vigente completa per la pericolosità da frana e le eventuali aree/zone di attenzione non è ancora acquisita e validata come baseline operativa del progetto.,PAI/NTA and pre-screening remain useful; pointwise finalist check is not required to close strategic model.,YES,Move pointwise check post-model unless future hard rule is approved.
ISS-0013,OPEN,SIMPLIFY,PROPOSE_RESOLVED_PROCEDURALLY,"Le prevalutazioni Natura 2000 regionali vigenti, le aree di interferenza funzionale e la verifica di corrispondenza non sono ancora codificate in un rule-set riproducibile per il pre-screening automatico dei candidati Hub.",Chat 3.12 passed independent review with limitations; coding gap is technically resolved.,YES,Chat 0.2/user decides closure and branch integration; no automatic hard filter.
ISS-0014,RESOLVED,HISTORICAL_SUPPORT,RESOLVED,Copia TESI_BASELINE_SAFE di G_OSM_operativo_v01.gpkg con hash diverso dal FROZEN; due copie preservate coincidono con l'hash atteso.,Preservation repair complete; no methodological effect.,NO,No action.
