"queue_id","related_claim_ids","item_type","item_summary","source_origin","verification_status","verification_evidence","current_governance_status","decision_required","recommended_owner_or_stage","recommended_action","blocking_for_current_stage","notes"
"NI-001","RC-006","CONFLICTING_REQUIREMENT","BESS obbligatorio in tutti e 5 gli Hub.","Input relazione utente 2026-09-21","SOURCE_ONLY","Non supportato dalla Fase 1 FROZEN corrente.","NOT_ACCEPTED / CONFLICT_WITH_FROZEN_MINIMUM","YES","Chat 0.2 / eventuale nuova Fase 1 successor decision","Decidere se BESS deve entrare nel nucleo minimo; fino ad allora non passarlo come requisito accettato.","NO","Potrebbe influire su superficie/energia."
"NI-002","RC-007","CONFLICTING_REQUIREMENT","Elettrolizzatore in sito obbligatorio in tutti e 5 gli Hub.","Input relazione utente 2026-09-21","SOURCE_ONLY","Confligge con F1-D6/DEC-0011: architettura H2 non predefinita.","NOT_ACCEPTED / CONFLICT_WITH_FROZEN_F1-D6","YES","Chat 0.2 / eventuale nuova Fase 1 successor decision","Non integrare come obbligo senza esplicita revisione FROZEN.","NO","È diverso dal fatto che Monfalcone abbia un elettrolizzatore."
"NI-003","RC-025","USER_REQUIREMENT","Distanza minima 10 km tra i cinque Hub come requisito di commessa, distinta da AFIR.","Input utente 2026-09-21","USER_ASSERTED","Coerenza interna verificata; non è un requisito AFIR nel Reg. 2023/1804.","PENDING_INTEGRATION","YES","DQ-07/DQ-08","Registrare come requisito di configurazione candidato e sottoporlo ad approvazione esplicita.","NO","Evitare qualsiasi associazione con i 10 km AFIR dalla TEN-T exit."
"NI-004","RC-078","METHODOLOGY_PROPOSAL","Pesi interi positivi 1–5 per criterio.","Input relazione utente 2026-09-21","SOURCE_ONLY","DQ-05 non ancora approvata.","PENDING_DECISION","YES","DQ-05","Valutare scala, elicitation e sensitivity prima dell'approvazione.","NO","Non usare come default implicito."
"NI-005","RC-079","METHODOLOGY_PROPOSAL","Normalizzazione min-max [0,1] obbligatoria.","Input relazione utente 2026-09-21","SOURCE_ONLY","DQ-04 non ancora approvata.","PENDING_DECISION","YES","DQ-04","Valutare suitability per indicatore, insieme di normalizzazione e outlier.","NO","Il roadmap v2 non impone min-max."
"NI-006","RC-080","METHODOLOGY_PROPOSAL","Score individuale come somma pesata dei valori normalizzati.","Input relazione utente 2026-09-21","SOURCE_ONLY","DQ-06 non ancora approvata.","PENDING_DECISION","YES","DQ-06","Valutare compensabilità, interpretabilità e test numerici.","NO",""
"NI-007","RC-081…RC-085","METHODOLOGY_PROPOSAL","Set preliminare di criteri: accessibilità/classe strada, domanda logistica-industriale, flussi, compatibilità territoriale, proxy energia, infrastrutture H2.","Input relazione utente 2026-09-21","SOURCE_ONLY","Domini in parte coerenti col model contract, indicatori/formule non approvati.","PENDING_DECISION","YES","DQ-02/DQ-03","Scomporre in dizionario indicatori con domanda decisionale, formula raw, geometria, unità, missing e ruolo.","NO","Evitare doppio conteggio tra compatibilità territoriale e tematismi ambientali."
"NI-008","RC-087","METHODOLOGY_PROPOSAL","Suddivisione FVG in cinque macro-aree ai fini della selezione.","Input relazione utente 2026-09-21","SOURCE_ONLY","DQ-07/DQ-08 non approvate.","PENDING_DECISION","YES","DQ-07/DQ-08","Motivare se partizione territoriale è necessaria rispetto a selezione globale.","NO",""
"NI-009","RC-088","METHODOLOGY_PROPOSAL","Bilanciamento macro-aree per lunghezza TEN-T.","Input relazione utente 2026-09-21","SOURCE_ONLY","Nessuna decisione corrente.","PENDING_DECISION","YES","DQ-07/DQ-08","Definire metrica e razionale; testare effetti sulla soluzione.","NO",""
"NI-010","RC-089","METHODOLOGY_PROPOSAL","Bilanciamento macro-aree per quota addetti manifatturieri.","Input relazione utente 2026-09-21","SOURCE_ONLY","Nessuna decisione corrente.","PENDING_DECISION","YES","DQ-07/DQ-08","Valutare rischio di doppio conteggio con domanda industriale.","NO",""
"NI-011","RC-090","METHODOLOGY_PROPOSAL","Vincolo implicito di un Hub per ciascuna macro-area.","Inferenza necessaria dallo stralcio utente","INFERRED_FROM_SOURCE","Non esplicitato come decisione; necessario per 10^5/5^5.","PENDING_DECISION","YES","DQ-07/DQ-08","Rendere esplicito prima di qualsiasi implementazione.","NO","Non assumere che cinque macro-aree implichino automaticamente uno-per-area."
"NI-012","RC-091…RC-093","METHODOLOGY_PROPOSAL","Preselezione top-10 o top-5 per macro-area e enumerazione 100.000/3.125 cinquine.","Input relazione utente 2026-09-21","SOURCE_ONLY","DQ-09 non approvata.","PENDING_DECISION","YES","DQ-09","Usare solo se motivato da costo computazionale e testato contro perdita dell'ottimo.","NO","Conteggi aritmetici corretti solo sotto assunzione uno-per-area."
